County,Number Boxes
Adams,11
Allegheny,38
Armstrong,9
Beaver,16
Bedford,4
Berks,28
Blair,6
Bradford,8
Bucks,36
Butler,11
Cambria,3
Cameron,2
Carbon,7
Centre,8
Chester,22
Clarion,4
Clearfield,8
Clinton,4
Columbia,3
Crawford,8
Cumberland,22
Dauphin,12
Delaware,50
Elk,5
Erie,13
Fayette,8
Forest,2
Franklin,5
Fulton,2
Greene,3
Huntingdon,2
Indiana,5
Jefferson,6
Juniata,1
Lackawanna,5
Lancaster,20
Lancaster   ,1
Lawrence,4
Lebanon,6
Lehigh,18
Luzerne,7
Lycoming,18
McKean,5
Mercer,7
Mifflin,3
Monroe,5
Montgomery,50
Montour,2
Northampton,23
Northumberland,10
Perry,2
Philadelphia,17
Pike,4
Potter,5
Schuylkill,5
Snyder,5
Somerset,2
Sullivan,2
Susquehanna,2
Tioga,6
Union,2
Venango,4
Warren,4
Washington,23
Wayne,2
Westmoreland,26
Wyoming,2
York,17
