,County,Jan19,Feb19,Mar19,Apr19,May19,Jun19,Jul19,Aug19
0,Adams,1.0,3.0,2.0,6.0,1.0,2.0,,1.0
1,Allegheny,36.0,38.0,34.0,30.0,32.0,43.0,57.0,17.0
2,Armstrong,1.0,6.0,3.0,2.0,1.0,1.0,2.0,
3,Beaver,3.0,0.0,5.0,2.0,1.0,1.0,,1.0
4,Berks,5.0,4.0,6.0,9.0,10.0,5.0,6.0,
5,Blair,3.0,,1.0,3.0,1.0,,2.0,
6,Bucks,29.0,23.0,19.0,44.0,49.0,31.0,32.0,12.0
7,Butler,4.0,3.0,1.0,2.0,4.0,3.0,4.0,
8,Cambria,1.0,5.0,2.0,1.0,2.0,5.0,8.0,3.0
9,Carbon,0.0,8.0,4.0,6.0,6.0,3.0,5.0,7.0
10,Chester,10.0,6.0,28.0,10.0,4.0,13.0,21.0,7.0
11,Cumberland,6.0,6.0,4.0,5.0,8.0,11.0,6.0,5.0
12,Dauphin,4.0,3.0,1.0,6.0,11.0,23.0,10.0,1.0
13,Delaware,14.0,21.0,26.0,25.0,19.0,1.0,2.0,3.0
14,Erie,4.0,8.0,6.0,10.0,4.0,15.0,16.0,2.0
15,Franklin,1.0,3.0,5.0,3.0,4.0,8.0,4.0,
16,Indiana,1.0,1.0,2.0,1.0,1.0,1.0,3.0,
17,Lancaster,12.0,9.0,12.0,11.0,10.0,10.0,13.0,11.0
18,Lawrence,2.0,1.0,,1.0,1.0,1.0,2.0,
19,Lebanon,7.0,2.0,6.0,4.0,4.0,1.0,15.0,2.0
20,Lehigh,13.0,10.0,14.0,4.0,4.0,3.0,1.0,1.0
21,Luzerne,14.0,10.0,14.0,18.0,10.0,9.0,19.0,8.0
22,Lycoming,1.0,,1.0,6.0,2.0,4.0,2.0,2.0
23,McKean,2.0,,1.0,,,,,
24,Mercer,2.0,3.0,8.0,5.0,5.0,4.0,4.0,3.0
25,Montgomery,7.0,4.0,8.0,7.0,6.0,1.0,7.0,2.0
26,Northampton,7.0,7.0,8.0,4.0,12.0,3.0,5.0,1.0
27,Northumberland,2.0,1.0,5.0,1.0,2.0,7.0,1.0,
28,Philadelphia,12.0,3.0,4.0,7.0,7.0,7.0,12.0,5.0
29,Schuylkill,4.0,3.0,,7.0,6.0,2.0,1.0,1.0
30,Somerset,0.0,6.0,,1.0,1.0,2.0,2.0,
31,Washington,1.0,2.0,0.0,1.0,4.0,9.0,3.0,2.0
32,Westmoreland,13.0,3.0,6.0,7.0,8.0,20.0,10.0,5.0
33,York,55.0,60.0,55.0,51.0,45.0,44.0,55.0,25.0
34,Bedford,,1.0,,,,2.0,,
35,Clearfield,,1.0,,,,1.0,2.0,
36,Clinton,,1.0,,,1.0,,,
37,Fayette,,0.0,5.0,4.0,2.0,1.0,1.0,2.0
38,Lackawanna,,1.0,3.0,,,2.0,2.0,0.0
39,Monroe,,3.0,1.0,4.0,2.0,8.0,11.0,7.0
40,Montour,,2.0,1.0,,,1.0,2.0,
41,Snyder,,1.0,,,,1.0,,
42,Susquehanna,,1.0,2.0,1.0,,1.0,,
43,Tioga,,0.0,2.0,,2.0,,4.0,2.0
44,Columbia,,,0.0,1.0,1.0,3.0,0.0,
45,Pike,,,2.0,1.0,1.0,,0.0,
46,Potter,,,2.0,,1.0,1.0,,
47,Wyoming,,,1.0,,,,,
48,Bradford,,,,0.0,,1.0,2.0,
49,Centre,,,,3.0,2.0,,,
50,Crawford,,,,0.0,3.0,,0.0,
51,Elk,,,,2.0,,3.0,2.0,
52,Jefferson,,,,1.0,,2.0,1.0,1.0
53,Mifflin,,,,1.0,2.0,,,
54,Perry,,,,1.0,2.0,2.0,1.0,
55,Warren,,,,0.0,,,1.0,
56,Greene,,,,,1.0,,,
57,Huntingdon,,,,,1.0,,,1.0
58,Union,,,,,,0.0,,
59,Wayne,,,,,,1.0,,
